committee_name,election_cycle,count,party
MANDELA BARNES FOR WISCONSIN,2018,2,
MANDELA BARNES FOR WISCONSIN,2020,2,
MANDELA BARNES FOR WISCONSIN,2022,2,
MANDELA BARNES FOR WISCONSIN,2024,2,
MARCO RUBIO FOR PRESIDENT,2016,2,
MARCO RUBIO FOR PRESIDENT,2018,2,
MARCO RUBIO FOR PRESIDENT,2020,2,
MARCO RUBIO FOR PRESIDENT,2022,2,
MARCO RUBIO FOR PRESIDENT,2024,2,
MARIANNE WILLIAMSON FOR PRESIDENT,2016,2,
MARIANNE WILLIAMSON FOR PRESIDENT,2018,2,
MARIANNE WILLIAMSON FOR PRESIDENT,2020,2,
MARIANNE WILLIAMSON FOR PRESIDENT,2022,2,
MARIANNE WILLIAMSON FOR PRESIDENT,2024,2,
MARK KELLY FOR SENATE,2016,2,
MARK KELLY FOR SENATE,2018,2,
MARK KELLY FOR SENATE,2020,2,
MARK KELLY FOR SENATE,2022,2,
MARK KELLY FOR SENATE,2024,2,
MARYLAND REPUBLICAN STATE CENTRAL COMMITTEE,2016,2,
MARYLAND REPUBLICAN STATE CENTRAL COMMITTEE,2018,2,
MARYLAND REPUBLICAN STATE CENTRAL COMMITTEE,2020,2,
MARYLAND REPUBLICAN STATE CENTRAL COMMITTEE,2022,2,
MARYLAND REPUBLICAN STATE CENTRAL COMMITTEE,2024,2,
MAXWELL ALEJANDRO FROST FOR CONGRESS,2016,2,
MAXWELL ALEJANDRO FROST FOR CONGRESS,2018,2,
